Center	City	Country	Lat.Long
Radboud University Medical Center	Nijmegen	The Netherlands	51.823765, 5.861192
	Grenoble	France	45.204713, 5.699564
The University of Western Australia	Crawley	Australia	-31.979064, 115.818782
Brigham and Women's Hospital	Boston	USA	42.335685, -71.106264
McGill University	Montreal	Canada	45.504537, -73.577452
University Hospital Münster	Muenster	Germany	51.960388, 7.596481
University of Florida	Gainesville	USA	29.643679, -82.355016
A.I.V. Institute for Molecular Sciences	Kuopio	Finland	62.890637, 27.631624
Georg-August University of Göttingen	Göttingen	Germany	51.561975, 9.951014
Icahn School of Medicine at Mount Sinai	New York City	USA	40.789934, -73.953319
Max-Delbrück Center for Molecular Medicine, Helmholtz Association of German Research Centers (HZ), Berlin, Germany	Berlin	Germany	52.625344, 13.501894
École polytechnique fédérale de Lausanne	Lausanne	Switzerland	46.518347, 6.566704
Universidad Nacional Autónoma de México, Campus Juriquilla	Queretaro	Mexico	20.701492, -100.446004
The University of Edinburgh	Edinburgh	UK	55.944654, -3.190604
Institute for Stem Cell Biology and Regenerative Medicine	Bangalore	India	13.075883, 77.577644
King's College London	London	UK	51.511266, -0.116115
Pennsylvania State University	University Park	USA	40.798051, -77.860541
Tohoku University		Japan	38.254719, 140.835369
Max Planck Institute for Biological Cybernetics	Tuebingen	Germany	48.536453, 9.057449
Massachusetts General Hospital and Harvard Medical School	Charlestown	USA	42.377453, -71.052282
University of Tuebingen	Tuebingen	Germany	48.536453, 9.057449
Forschungszentrum Juelich	Juellich	Germany	50.905291, 6.404716
University and ETH Zurich	Zurich	Switzerland	47.408159, 8.508157
Trinity College Dublin	Dublin	Ireland	53.34393441516355, -6.2531768513197035
University of Antwerp	Wilrijk	Belgium	51.222628255426514, 4.410339087106316
University Medical Center Utrecht	Utrecht	The Netherlands	52.08647887650086, 5.180771405643551
The University of North Carolina at Chapel Hill	Chapel Hill	USA	35.90484265799696, -79.04916645715475
Central Institute of Mental Health, Medical Faculty Mannheim, University of Heidelberg	Mannheim	Germany	49.49264759969194, 8.466489190528247
Istituto Italiano di Tecnologia	Rovereto	Italy	46.079265365702675, 11.128595031458905
University of Barcelona	Barcelona	Spain	41.438069953446885, 2.143034602013732
Centre Hospitalier Universitaire Vaudois	Lausanne	Switzerland	46.52482879675899, 6.642879910044396
Max-Delbrück Center for Molecular Medicine in the Helmholtz Association	Berlin	Germany	52.626415951628864, 13.50337709667743
Ghent University	Gent	Belgium	51.01348672565612, 3.708366737119109
Yale University School of Medicine	New Haven	USA	41.30383561383107, -72.93424869746137
University of Houston-Victoria	Victoria	Mexico	28.81651359693578, -96.97778846983914
Universidad Nacional Autónoma de México campus Juriquilla	Querétaro	Mexico	20.70118613077501, -100.44490445010985
University of Nottingham	Nottingham	UK	52.940872957701735, -1.2005607488853642
Institute of Automation, Chinese Academy of Sciences	Beijing	China	39.98023708515093, 116.3324145047066
Leibniz Institute for Neurobiology	Magdeburg	Germany	52.101629012768754, 11.60928383170501
Centre National pour la Recherche Scientifique	Tours	France	47.54542377582526, 0.7794314251872101
Universté Clermont Auvergne (UCA)	Clermont-Ferrand	France	45.75920247263516, 3.0857241957876638
University of Cambridge	Cambridge	UK	52.20246155684459, 0.12061919731036926
Amsterdamumc	Amsterdam	The Netherlands	52.31781085429126, 4.854024741854577
University of Tuebingen	Tuebingen	Germany	48.52945686423494, 9.040147651682675
The University of Western Australia	Crawley	Australia	-31.979064, 115.818782
CEA Saclay	Paris	France	48.69564480420989, 2.1742785632659545
Trinity College Dublin	Dublin	Ireland	53.34393441516355, -6.2531768513197035
Wellcome Centre for Integrative Neuroimaging, FMRIB, University of Oxford	Oxford	UK	51.76482484060638, -1.22034969786049
FAU Erlangen-Nürnberg	Erlangen	Germany	49.59435541112291, 11.008948485906167
Champalimaud Centre for the Unknown	Lisbon	Portugal	38.69319992415748, -9.22187928411459
University of Duisburg-Essen	Essen	Germany	51.488357151742, 7.03307825643061
University of Toronto	Toronto	Canada	43.66078439247229, -79.39562993631868
ETH Zürich and University of Zürich	Zürich	Switzerland	47.37614912213897, 8.54776747353845
University of Guelph	Guelph	Canada	43.53268278799536, -80.22624477443789
Emory University/Georgia Institute of Technology	Atlanta	USA	33.778428545106976, -84.3965991714229
Université Claude Bernard Lyon 1, INSERM, CNRS	Lyon	France	45.74375969168933, 4.902240537225895
Istituto di Ricerche Farmacologiche Mario Negri,IRCCS	Milan	Italy	45.50001771869504, 9.157615292912563
University College London	London	UK	51.52399221304292, -0.13436718739512185
Novartis Institutes for BioMedical Research	Basel	Switzerland	47.571658749706266, 7.581465317227341
Ruhr University Bochum	Bochum	Germany	51.44572606083847, 7.261952621526725
Université Paris-Saclay, Commissariat à l'Énergie Atomique et aux Énergies Alternatives (CEA), CNRS	Fontenay-aux-Roses	France	48.72195290321485, 2.151944284597099
University College Dublin	Dublin	Ireland	53.306303908284335, -6.225605918400812
ShanghaiTech University	Shanghai	China	31.176557661270035, 121.59239815311005
University of Chinese Academy of Sciences	Beijing	China	40.40836154572737, 116.68237526875235
CSIC-UMH	San Juan de Alicante	Spain	38.3890493316424, -0.43602887364638226
Aarhus University	Aarhus	Denmark	56.166123794306216, 10.20009668474478
Institute for Basic Science	Suwon	South Korea	37.29183840000097, 126.97522606890708
Houston	Houston	USA	29.720649025033058, -95.34289971624246
Columbia University	New York	USA	40.80771412771835, -73.96257270239724
National Institutes for Quantum and Radiological Science and Technology	Chiba	Japan	35.63505758776357, 140.10241182626203
Rappaport Faculty of Medicine, Technion – Israel Institute of Technology	Haifa	Israel	32.834470914347726, 34.98379919733876
National Institute of Advanced Industrial Science and Technology (AIST)	Ibaraki	Japan	36.06256655226466, 140.13573138580026
Université du Québec à Trois-Rivières	Trois-Rivières 	Canada	46.34813577060946, -72.57809365985818
University of Geneva	Geneva	Switzerland	46.19957021236651, 6.14520152849632
Singapore Bioimaging Consortium	Singapore	Singapore	1.3047560718845024, 103.7917158698498
University of Antwerp	Antwerp	Belgium	51.22297535645693, 4.410206811508296
University of Freiburg	Freiburg	Germany	47.993644589601, 7.845895953700279
University of Heidelberg	Mannheim	Germany	49.4107576987917, 8.706479196087066
University of Strasbourg	Strasbourg	France	48.57931834354671, 7.7662985960523665
University of Manchester	Manchester	UK	53.46643675025869, -2.2325695635803133
The University of Queensland	Brisbane	Australia	-27.493077649995534, 153.00642551541307
The University of Toronto	Toronto	Canada	43.66386592657863, -79.4017871044386
